bit	corr1	corr2
0	1.0	1.0
1	0.13	0.02
2	0.27	0.02
3	0.17	0.03
4	0.16	0.02
5	0.2	0.0
6	0.15	0.01
7	0.1	0.01
8	0.11	0.02
9	0.16	0.01
10	0.18	0.01
11	0.09	0.01
12	0.12	0.01
13	0.1	0.01
14	0.09	0.0
15	0.11	0.01
16	0.15	0.01
17	0.2	0.01
18	0.1	0.01
19	0.09	0.0
20	0.1	0.0
21	0.13	0.0
22	0.09	0.0
23	0.1	0.01
24	0.1	0.02
25	0.09	0.01
26	0.1	0.0
27	0.1	0.0
28	0.09	0.0
29	0.08	0.0
30	0.09	0.0
31	0.08	0.01
32	0.23	0.03
33	0.12	0.01
34	0.12	0.03
35	0.09	0.01
36	0.14	0.0
37	0.09	0.0
38	0.08	0.0
39	0.09	0.01
40	0.11	0.02
41	0.11	0.01
42	0.1	0.0
43	0.1	0.0
44	0.09	0.03
45	0.13	0.01
46	0.11	0.03
47	0.11	0.02
48	0.09	0.04
49	0.09	0.02
50	0.1	0.02
51	0.1	0.01
52	0.1	0.01
53	0.1	0.01
54	0.1	0.01
55	0.1	0.02
56	0.08	0.02
57	0.08	0.02
58	0.09	0.01
59	0.1	0.0
60	0.1	0.02
61	0.12	0.02
62	0.12	0.02
63	0.18	0.02
64	0.15	0.02
65	0.13	0.02
66	0.12	0.01
67	0.11	0.01
68	0.1	0.0
69	0.1	0.01
70	0.18	0.0
71	0.11	0.01
72	0.11	0.02
73	0.1	0.01
74	0.13	0.01
75	0.08	0.0
76	0.09	0.01
77	0.08	0.0
78	0.11	0.01
79	0.11	0.01
80	0.11	0.02
81	0.1	0.01
82	0.1	0.01
83	0.1	0.01
84	0.12	0.01
85	0.1	0.01
86	0.11	0.0
87	0.09	0.01
88	0.09	0.02
89	0.08	0.01
90	0.1	0.0
91	0.08	0.01
92	0.11	0.0
93	0.09	0.0
94	0.09	0.0
95	0.1	0.01
96	0.1	0.02
97	0.13	0.12
98	0.11	0.04
99	0.12	0.06
100	0.12	0.05
101	0.14	0.15
102	0.11	0.04
103	0.11	0.05
104	0.11	0.07
105	0.15	0.12
106	0.09	0.01
107	0.09	0.01
108	0.12	0.08
109	0.11	0.05
110	0.13	0.09
111	0.12	0.12
112	0.11	0.07
113	0.09	0.01
114	0.12	0.11
115	0.17	0.09
116	0.13	0.09
117	0.11	0.07
118	0.09	0.02
119	0.11	0.03
120	0.11	0.02
121	0.13	0.04
122	0.1	0.01
123	0.1	0.0
124	0.13	0.0
125	0.11	0.0
126	0.09	0.0
127	0.11	0.01
128	0.14	0.1
129	0.1	0.08
130	0.11	0.08
131	0.11	0.07
132	0.1	0.07
133	0.09	0.05
134	0.09	0.04
135	0.09	0.05
136	0.19	0.06
137	0.1	0.05
138	0.1	0.04
139	0.09	0.03
140	0.1	0.03
141	0.08	0.03
142	0.1	0.03
143	0.09	0.04
144	0.09	0.04
145	0.11	0.04
146	0.09	0.03
147	0.08	0.03
148	0.1	0.02
149	0.09	0.02
150	0.09	0.02
151	0.09	0.03
152	0.09	0.04
153	0.09	0.03
154	0.09	0.02
155	0.1	0.02
156	0.09	0.02
157	0.17	0.02
158	0.13	0.01
159	0.18	0.02
160	0.17	0.03
161	0.09	0.02
162	0.09	0.01
163	0.09	0.01
164	0.09	0.01
165	0.1	0.01
166	0.09	0.01
167	0.1	0.02
168	0.09	0.02
169	0.11	0.01
170	0.1	0.01
171	0.1	0.01
172	0.1	0.01
173	0.1	0.01
174	0.09	0.01
175	0.09	0.02
176	0.11	0.02
177	0.1	0.01
178	0.09	0.01
179	0.09	0.01
180	0.09	0.01
181	0.1	0.01
182	0.09	0.01
183	0.09	0.01
184	0.13	0.02
185	0.1	0.01
186	0.09	0.01
187	0.09	0.01
188	0.09	0.01
189	0.1	0.01
190	0.1	0.01
191	0.11	0.01
192	0.16	0.01
193	0.1	0.01
194	0.1	0.01
195	0.1	0.01
196	0.15	0.0
197	0.1	0.0
198	0.09	0.0
199	0.1	0.01
200	0.09	0.02
201	0.1	0.01
202	0.09	0.01
203	0.09	0.0
204	0.09	0.0
205	0.09	0.0
206	0.1	0.0
207	0.13	0.01
208	0.1	0.02
209	0.08	0.01
210	0.1	0.01
211	0.1	0.01
212	0.12	0.0
213	0.09	0.0
214	0.12	0.0
215	0.1	0.01
216	0.09	0.01
217	0.08	0.01
218	0.1	0.0
219	0.1	0.0
220	0.08	0.0
221	0.09	0.0
222	0.09	0.0
223	0.09	0.01
224	0.09	0.02
225	0.1	0.02
226	0.1	0.02
227	0.09	0.01
228	0.08	0.01
229	0.1	0.01
230	0.08	0.01
231	0.09	0.01
232	0.09	0.02
233	0.1	0.01
234	0.08	0.0
235	0.11	0.0
236	0.1	0.01
237	0.09	0.01
238	0.09	0.0
239	0.09	0.02
240	0.1	0.02
241	0.1	0.01
242	0.08	0.01
243	0.1	0.01
244	0.1	0.01
245	0.08	0.0
246	0.12	0.0
247	0.1	0.02
248	0.1	0.02
249	0.09	0.01
250	0.1	0.0
251	0.1	0.0
252	0.1	0.0
253	0.1	0.0
254	0.12	0.0
