bit	corr1	corr2
0	1.0000	0.7974
1	0.9450	0.7467
2	0.9425	0.7148
3	0.9499	0.7539
4	0.9474	0.7233
5	0.9499	0.7315
6	0.9499	0.7315
7	0.9546	0.7467
8	0.9499	0.6762
9	0.9499	0.7148
10	0.9522	0.7059
11	0.9546	0.7860
12	0.9474	0.7059
13	0.9546	0.7467
14	0.9546	0.7148
15	0.9615	0.7539
16	0.9425	0.7674
17	0.9499	0.7974
18	0.9522	0.7674
19	0.9569	0.7860
20	0.9569	0.7467
21	0.9569	0.7860
22	0.9546	0.8541
23	0.9592	0.7738
24	0.9499	0.7059
25	0.9569	0.7674
26	0.9569	0.7392
27	0.9592	0.8029
28	0.9569	0.7148
29	0.9592	0.9637
30	0.9615	0.7233
31	0.9660	0.7392
32	0.9450	0.6651
33	0.9499	0.7059
34	0.9522	0.7315
35	0.9569	0.7860
36	0.9546	0.6965
37	0.9569	0.7539
38	0.9546	0.7059
39	0.9615	0.7315
40	0.9522	0.6651
41	0.9592	0.7059
42	0.9592	0.7148
43	0.9615	0.7800
44	0.9569	0.9268
45	0.9592	0.7674
46	0.9637	0.7608
47	0.9660	0.7608
48	0.9522	0.6762
49	0.9592	0.7392
50	0.9592	0.7467
51	0.9615	0.7148
52	0.9569	0.7860
53	0.9615	0.7315
54	0.9592	0.8232
55	0.9637	0.7315
56	0.9592	0.7148
57	0.9637	0.7392
58	0.9592	0.9185
59	0.9637	0.7974
60	0.9637	0.7315
61	0.9660	0.7608
62	0.9681	0.7467
63	0.9703	0.7467
64	0.9425	0.6272
65	0.9522	0.6867
66	0.9522	0.6407
67	0.9546	0.7148
68	0.9546	0.8279
69	0.9592	0.8371
70	0.9592	0.7233
71	0.9615	0.9374
72	0.9546	0.6965
73	0.9592	0.6762
74	0.9592	0.6272
75	0.9637	0.8183
76	0.9546	0.6651
77	0.9615	0.7608
78	0.9615	0.7392
79	0.9660	0.7148
80	0.9546	0.6126
81	0.9569	0.7148
82	0.9592	0.6534
83	0.9615	0.6651
84	0.9615	0.6534
85	0.9637	0.7233
86	0.9615	0.8133
87	0.9637	0.6965
88	0.9569	0.9766
89	0.9615	0.7233
90	0.9615	0.7539
91	0.9615	0.7918
92	0.9615	0.6762
93	0.9637	0.7608
94	0.9637	0.7148
95	0.9724	0.7233
96	0.9499	0.8659
97	0.9615	0.8581
98	0.9569	0.8973
99	0.9637	0.8805
100	0.9592	0.7148
101	0.9660	0.8183
102	0.9592	0.7674
103	0.9660	0.7315
104	0.9569	0.8371
105	0.9660	0.7059
106	0.9615	0.6965
107	0.9637	0.7800
108	0.9637	0.8581
109	0.9660	0.8183
110	0.9637	0.7148
111	0.9724	0.7539
112	0.9569	0.6272
113	0.9615	0.7392
114	0.9637	0.7059
115	0.9703	0.7539
116	0.9637	0.9213
117	0.9660	0.7148
118	0.9637	0.8500
119	0.9681	0.7674
120	0.9637	0.7059
121	0.9660	0.6965
122	0.9637	0.7233
123	0.9660	0.7974
124	0.9660	0.7148
125	0.9681	0.7539
126	0.9703	0.7392
127	0.9724	0.7233
128	0.9400	0.7608
129	0.9474	0.6965
130	0.9499	0.7315
131	0.9546	0.7059
132	0.9499	0.6867
133	0.9569	0.7315
134	0.9546	0.7148
135	0.9615	0.6965
136	0.9499	0.8581
137	0.9569	0.7974
138	0.9592	0.8133
139	0.9592	0.8415
140	0.9569	0.7860
141	0.9592	0.8415
142	0.9615	0.9425
143	0.9681	0.7674
144	0.9499	0.5793
145	0.9592	0.6651
146	0.9592	0.7148
147	0.9615	0.6407
148	0.9569	0.6534
149	0.9615	0.7148
150	0.9592	0.9005
151	0.9637	0.7059
152	0.9546	0.6965
153	0.9615	0.7059
154	0.9592	0.7539
155	0.9615	0.7467
156	0.9637	0.7392
157	0.9637	0.7315
158	0.9660	0.7315
159	0.9703	0.7315
160	0.9474	0.5967
161	0.9546	0.6126
162	0.9569	0.9005
163	0.9615	0.9067
164	0.9592	0.6534
165	0.9615	0.7467
166	0.9592	0.6965
167	0.9637	0.7233
168	0.9546	0.6534
169	0.9615	0.7059
170	0.9615	0.6407
171	0.9637	0.7467
172	0.9615	0.8458
173	0.9637	0.7467
174	0.9637	0.7148
175	0.9681	0.7059
176	0.9569	0.9474
177	0.9615	0.9660
178	0.9592	0.7315
179	0.9615	0.7392
180	0.9615	0.7860
181	0.9637	0.7233
182	0.9637	0.8500
183	0.9637	0.7148
184	0.9592	0.6867
185	0.9637	0.7148
186	0.9615	0.7392
187	0.9660	0.7860
188	0.9637	0.7059
189	0.9660	0.7974
190	0.9681	0.7392
191	0.9724	0.7467
192	0.9474	0.7738
193	0.9546	0.7674
194	0.9569	0.7738
195	0.9615	0.7800
196	0.9569	0.8458
197	0.9592	0.8326
198	0.9615	0.8326
199	0.9681	0.8133
200	0.9546	0.6272
201	0.9615	0.6965
202	0.9615	0.6762
203	0.9637	0.8371
204	0.9592	0.7539
205	0.9615	0.7539
206	0.9660	0.7608
207	0.9724	0.7539
208	0.9522	0.6534
