bit	corr1	corr2
0	1.0	0.65
1	0.22	0.42
2	0.21	0.48
3	0.18	0.38
4	0.23	0.47
5	0.17	0.52
6	0.19	0.49
7	0.14	0.42
8	0.21	0.69
9	0.18	0.71
10	0.19	0.71
11	0.16	0.54
12	0.21	0.62
13	0.17	0.64
14	0.17	0.54
15	0.13	0.54
16	0.21	0.68
17	0.18	0.6
18	0.19	0.68
19	0.16	0.6
20	0.19	0.68
21	0.17	0.76
22	0.17	0.6
23	0.14	0.55
24	0.22	0.62
25	0.18	0.64
26	0.17	0.65
27	0.15	0.56
28	0.17	0.66
29	0.14	0.57
30	0.15	0.49
31	0.12	0.44
32	0.26	0.47
33	0.18	0.7
34	0.19	0.71
35	0.17	0.81
36	0.21	0.96
37	0.17	0.7
38	0.17	0.67
39	0.14	0.7
40	0.2	0.72
41	0.18	0.78
42	0.19	0.75
43	0.15	0.71
44	0.18	0.72
45	0.16	0.69
46	0.16	0.64
47	0.13	0.53
48	0.22	0.67
49	0.19	0.73
50	0.19	0.63
51	0.17	0.7
52	0.18	0.65
53	0.16	0.65
54	0.15	0.63
55	0.13	0.51
56	0.19	0.64
57	0.16	0.76
58	0.15	0.58
59	0.13	0.46
60	0.15	0.54
61	0.14	0.65
62	0.12	0.43
63	0.12	0.54
64	0.21	0.61
65	0.18	0.45
66	0.18	0.73
67	0.17	0.69
68	0.19	0.67
69	0.17	0.63
70	0.17	0.68
71	0.15	0.64
72	0.19	0.77
73	0.19	1.0
74	0.18	0.83
75	0.16	0.66
76	0.19	0.67
77	0.17	0.59
78	0.15	0.81
79	0.14	0.61
80	0.19	0.6
81	0.17	0.66
82	0.19	0.87
83	0.17	0.67
84	0.18	0.83
85	0.23	0.87
86	0.16	0.71
87	0.14	0.62
88	0.18	0.67
89	0.17	0.75
90	0.17	0.6
91	0.15	0.65
92	0.15	0.77
93	0.15	0.64
94	0.13	0.54
95	0.13	0.43
96	0.21	0.58
97	0.19	0.68
98	0.18	0.66
99	0.17	0.71
100	0.18	0.7
101	0.18	0.69
102	0.18	0.67
103	0.15	0.53
104	0.17	0.63
105	0.18	0.76
106	0.17	0.73
107	0.16	0.58
108	0.15	0.76
109	0.17	0.89
110	0.15	0.62
111	0.13	0.43
112	0.17	0.58
113	0.15	0.74
114	0.18	0.79
115	0.15	0.55
116	0.15	0.67
117	0.15	0.58
118	0.14	0.58
119	0.13	0.33
120	0.14	0.56
121	0.14	0.51
122	0.14	0.52
123	0.13	0.52
124	0.12	0.45
125	0.13	0.37
126	0.12	0.47
127	0.15	0.34
128	0.25	0.38
129	0.17	0.63
130	0.18	0.58
131	0.15	0.43
132	0.17	0.77
133	0.16	0.6
134	0.17	0.66
135	0.15	0.62
136	0.18	0.58
137	0.17	0.75
138	0.17	0.75
139	0.15	0.59
140	0.18	0.69
141	0.17	0.81
142	0.15	0.56
143	0.13	0.59
144	0.18	0.61
145	0.18	0.72
146	0.22	0.79
147	0.16	0.54
148	0.18	0.66
149	0.17	0.77
150	0.17	0.74
151	0.15	0.59
152	0.18	0.52
153	0.18	0.73
154	0.17	0.65
155	0.14	0.6
156	0.15	0.65
157	0.15	0.69
158	0.13	0.5
159	0.13	0.41
160	0.17	0.45
161	0.17	0.76
162	0.17	0.59
163	0.15	0.75
164	0.18	0.71
165	0.17	0.75
166	0.17	0.6
167	0.15	0.65
168	0.17	0.65
169	0.18	0.87
170	0.21	0.72
171	0.16	0.69
172	0.16	0.82
173	0.17	0.69
174	0.14	0.7
175	0.13	0.45
176	0.15	0.68
177	0.16	0.68
178	0.16	0.63
179	0.15	0.68
180	0.15	0.66
181	0.16	0.66
182	0.15	0.93
183	0.14	0.52
184	0.14	0.67
185	0.16	0.61
186	0.15	0.55
187	0.14	0.43
188	0.12	0.47
189	0.14	0.61
190	0.12	0.35
191	0.14	0.36
192	0.21	0.52
193	0.15	0.51
194	0.16	0.6
195	0.16	0.55
196	0.21	0.6
197	0.15	0.69
198	0.16	0.71
199	0.14	0.55
200	0.16	0.65
201	0.16	0.7
202	0.17	0.77
203	0.16	0.61
204	0.18	0.66
205	0.15	0.6
206	0.15	0.59
207	0.13	0.41
208	0.15	0.58
209	0.15	0.59
210	0.16	0.69
211	0.15	0.59
212	0.16	0.73
213	0.16	0.65
214	0.16	0.63
215	0.13	0.39
216	0.14	0.5
217	0.14	0.49
218	0.15	0.64
219	0.15	0.7
220	0.14	0.58
221	0.14	0.42
222	0.13	0.41
223	0.13	0.29
224	0.13	0.47
225	0.14	0.52
226	0.14	0.58
227	0.14	0.55
228	0.14	0.78
229	0.15	0.69
230	0.15	0.59
231	0.14	0.49
232	0.14	0.49
233	0.16	0.65
234	0.16	0.66
235	0.15	0.45
236	0.13	0.51
237	0.15	0.63
238	0.13	0.34
239	0.13	0.38
240	0.13	0.39
241	0.13	0.56
242	0.13	0.46
243	0.18	0.4
244	0.14	0.51
245	0.15	0.57
246	0.13	0.44
247	0.13	0.28
248	0.11	0.42
249	0.13	0.47
250	0.16	0.48
251	0.2	0.48
252	0.12	0.47
253	0.15	0.38
254	0.15	0.38
