bit	corr1	corr2
0	1.0000	1.0000
1	0.8415	0.8500
2	0.7608	0.7233
3	0.7860	0.7233
4	0.7539	0.6867
5	0.7392	0.6272
6	0.7233	0.6867
7	0.7539	0.7315
8	0.7315	0.6965
9	0.7233	0.5967
10	0.7392	0.6272
11	0.7148	0.5793
12	0.7467	0.6867
13	0.7148	0.5600
14	0.7233	0.5385
15	0.7233	0.6126
16	0.7148	0.6407
17	0.7539	0.6867
18	0.7233	0.6126
19	0.7059	0.5967
20	0.7674	0.6965
21	0.7467	0.6126
22	0.7148	0.5600
23	0.6965	0.1601
24	0.7315	0.6272
25	0.7315	0.5600
26	0.7315	0.6762
27	0.7233	0.6534
28	0.7467	0.6762
29	0.7315	0.6126
30	0.7392	0.6126
31	0.7608	0.9400
32	0.8541	0.6965
33	0.7059	0.5385
34	0.7392	0.5793
35	0.7539	0.5793
36	0.7608	0.5793
37	0.7233	0.4859
38	0.7059	0.5385
39	0.7315	0.5967
40	0.7467	0.6272
41	0.7315	0.4526
42	0.7467	0.5967
43	0.7392	0.5600
44	0.7315	0.5600
45	0.7392	0.4526
46	0.7392	0.5385
47	0.7148	0.5385
48	0.7148	0.6126
49	0.7539	0.6407
50	0.7918	0.7233
51	0.7233	0.5600
52	0.7467	0.5793
53	0.7467	0.6407
54	0.7392	0.4526
55	0.7233	0.4859
56	0.7467	0.7059
57	0.7467	0.4859
58	0.7467	0.5793
59	0.7233	0.4526
60	0.7467	0.5793
61	0.7392	0.6867
62	0.7392	0.4859
63	0.7392	0.5600
64	0.7233	0.4859
65	0.7315	0.5793
66	0.7148	0.5385
67	0.7233	0.5600
68	0.7059	0.5600
69	0.7539	0.5793
70	0.7539	0.6762
71	0.7467	0.5967
72	0.7392	0.5967
73	0.7738	0.5793
74	0.7467	0.5600
75	0.7315	0.6272
76	0.6965	0.4526
77	0.7392	0.5600
78	0.7315	0.5600
79	0.7467	0.5600
80	0.7233	0.6651
81	0.7467	0.6534
82	0.7608	0.6272
83	0.7392	0.6272
84	0.7392	0.4526
85	0.7539	0.5967
86	0.7467	0.4526
87	0.7467	0.5967
88	0.7233	0.6407
89	0.7315	0.4859
90	0.7539	0.5793
91	0.7467	0.5600
92	0.7392	0.5385
93	0.7315	0.4118
94	0.7233	0.6126
95	0.7148	0.6126
96	0.6867	0.5967
97	0.7233	0.6407
98	0.7233	0.5967
99	0.7674	0.5967
100	0.7467	0.6534
101	0.7608	0.6126
102	0.7233	0.5793
103	0.7315	0.6272
104	0.7315	0.6126
105	0.7800	0.6534
106	0.7467	0.5600
107	0.7608	0.6651
108	0.7233	0.5793
109	0.7800	0.5600
110	0.7608	0.5793
111	0.7539	0.6407
112	0.7315	0.5967
113	0.7608	0.5793
114	0.7608	0.6651
115	0.7608	0.5793
116	0.7467	0.6126
117	0.7539	0.6272
118	0.7392	0.5793
119	0.7315	0.5793
120	0.7467	0.5600
121	0.7392	0.6407
122	0.7315	0.5600
123	0.7315	0.6534
124	0.7148	0.2852
125	0.7233	0.6126
126	0.7148	0.4526
127	0.7315	0.5793
128	0.7148	0.5385
129	0.7059	0.4859
130	0.7148	0.4526
131	0.7059	0.5385
132	0.6867	0.5793
133	0.7148	0.5600
134	0.7233	0.5793
135	0.7059	0.5967
136	0.7059	0.5793
137	0.7148	0.4118
138	0.7608	0.6534
139	0.7059	0.4526
140	0.7392	0.5967
141	0.7392	0.5793
142	0.7539	0.6126
143	0.7392	0.5600
144	0.7148	0.5600
145	0.7467	0.6407
146	0.7608	0.6965
147	0.7315	0.5967
148	0.7233	0.4118
149	0.7539	0.6534
150	0.7467	0.4859
151	0.7233	0.6126
152	0.6965	0.5385
153	0.7148	0.5385
154	0.7467	0.6534
155	0.7148	0.5600
156	0.7233	0.4859
157	0.7148	0.6272
158	0.7392	0.5793
159	0.7315	0.5967
160	0.7148	0.5793
161	0.7148	0.5385
162	0.7315	0.4859
163	0.7315	0.5385
164	0.7467	0.6126
165	0.7608	0.5793
166	0.7315	0.6126
167	0.7539	0.6534
168	0.7392	0.5967
169	0.7539	0.5793
170	0.7392	0.4859
171	0.7392	0.6126
172	0.7233	0.5967
173	0.7608	0.6867
174	0.7467	0.6272
175	0.7392	0.5385
176	0.6867	0.3593
177	0.7392	0.6762
178	0.7315	0.5967
179	0.7148	0.6965
180	0.7467	0.6272
181	0.7674	0.6272
182	0.7539	0.5600
183	0.7608	0.6407
184	0.7467	0.5967
185	0.7467	0.6867
186	0.7315	0.4118
187	0.7315	0.6126
188	0.7148	0.5793
189	0.7233	0.6965
190	0.7059	0.3593
191	0.7148	0.5600
192	0.6965	0.6762
193	0.7059	0.4118
194	0.7059	0.6126
195	0.7233	0.4526
196	0.7392	0.5600
197	0.7315	0.5385
198	0.7467	0.5967
199	0.7608	0.6651
200	0.7315	0.4526
201	0.7315	0.5793
202	0.7315	0.6126
203	0.7315	0.6407
204	0.7059	0.5793
205	0.7233	0.4526
206	0.7148	0.1601
207	0.7233	0.5967
208	0.6965	0.5385
209	0.7148	0.5385
210	0.7539	0.4859
211	0.7539	0.5600
212	0.7539	0.5600
213	0.7392	0.5793
214	0.7467	0.4118
215	0.7467	0.5967
216	0.7148	0.5385
217	0.7233	0.6407
218	0.7674	0.6272
219	0.7608	0.6762
220	0.7467	0.6407
221	0.7315	0.5967
222	0.7233	0.5600
223	0.7059	0.5793
224	0.7059	0.6126
225	0.7315	0.6407
226	0.7467	0.6534
227	0.7608	0.5967
228	0.7392	0.6534
229	0.7392	0.5967
230	0.7315	0.6126
231	0.7315	0.5967
232	0.6965	0.5600
233	0.7467	0.4859
234	0.7467	0.6867
235	0.7233	0.6272
236	0.7059	0.6126
237	0.7539	0.5793
238	0.7315	0.5793
239	0.7059	0.5385
240	0.7233	0.5600
241	0.7467	0.5967
242	0.7315	0.4859
243	0.7148	0.4526
244	0.7233	0.5967
245	0.7315	0.5967
246	0.7392	0.5385
247	0.7233	0.5385
248	0.7315	0.4526
249	0.7148	0.5385
250	0.7233	0.5385
251	0.7233	0.5600
252	0.7315	0.4859
253	0.7148	0.6407
254	0.7315	0.6126
