bit	corr1	corr2
0	0.0000	0.0000
1	0.0000	0.0000
2	0.0000	0.0000
3	0.0000	0.0000
4	0.0000	0.0000
5	0.0000	0.0000
6	0.0000	0.0000
7	0.0000	0.0000
8	0.0000	0.0000
9	0.0000	0.0000
10	0.5385	0.5600
11	0.0000	0.0000
12	0.0000	0.0000
13	0.0000	0.0000
14	0.0000	0.0000
15	0.0000	0.0000
16	0.0000	0.0000
17	0.0000	0.0000
18	0.0000	0.0000
19	0.0000	0.0000
20	0.0000	0.0000
21	0.0000	0.0000
22	0.0000	0.0000
23	0.0000	0.0000
24	0.0000	0.0000
25	0.0000	0.0000
26	0.0000	0.0000
27	0.0000	0.0000
28	0.0000	0.0000
29	0.0000	0.0000
30	0.0000	0.0000
31	0.0000	0.0000
32	1.0000	1.0000
33	0.0000	0.0000
34	0.1601	0.2852
35	0.0000	0.0000
36	0.0000	0.0000
37	0.0000	0.0000
38	0.0000	0.1601
39	0.0000	0.0000
40	0.0000	0.0000
41	0.0000	0.0000
42	0.0000	0.0000
43	0.0000	0.0000
44	0.1601	0.0000
45	0.3593	0.3593
46	0.4118	0.4118
47	0.5793	0.5967
48	0.4118	0.4859
49	0.2852	0.3593
50	0.1601	0.0000
51	0.1601	0.1601
52	0.1601	0.1601
53	0.1601	0.1601
54	0.1601	0.1601
55	0.1601	0.2852
56	0.2852	0.3593
57	0.1601	0.1601
58	0.1601	0.1601
59	0.0000	0.1601
60	0.5967	0.6126
61	0.1601	0.1601
62	0.5967	0.6126
63	0.0000	0.0000
64	0.0000	0.0000
65	0.4118	0.3593
66	0.0000	0.0000
67	0.4526	0.4526
68	0.4118	0.4118
69	0.3593	0.3593
70	0.1601	0.2852
71	0.0000	0.0000
72	0.0000	0.0000
73	0.2852	0.2852
74	0.0000	0.0000
75	0.0000	0.0000
76	0.4118	0.4526
77	0.1601	0.1601
78	0.3593	0.3593
79	0.1601	0.1601
80	0.2852	0.1601
81	0.0000	0.0000
82	0.3593	0.3593
83	0.4118	0.3593
84	0.3593	0.3593
85	0.2852	0.2852
86	0.1601	0.0000
87	0.0000	0.0000
88	0.0000	0.0000
89	0.0000	0.0000
90	0.0000	0.0000
91	0.0000	0.0000
92	0.0000	0.0000
93	0.0000	0.0000
94	0.0000	0.0000
95	0.5600	0.5793
96	0.0000	0.0000
97	0.7059	0.6867
98	0.2852	0.2852
