bit	corr1	corr2
0	0.8458	0.7608
1	0.7674	0.3593
2	0.7608	0.3593
3	0.7608	0.3593
4	0.7539	0.3593
5	0.7539	0.3593
6	0.7608	0.3593
7	0.7539	0.4118
8	0.7608	0.3593
9	0.7539	0.3593
10	0.8232	0.5141
11	0.7467	0.4118
12	0.7608	0.3593
13	0.8232	0.5141
14	0.7539	0.3593
15	0.7539	0.4118
16	0.7539	0.3593
17	0.7539	0.3593
18	0.7539	0.3593
19	0.7467	0.3593
20	0.7674	0.4118
21	0.7539	0.3593
22	0.7539	0.3593
23	0.7467	0.3593
24	0.7608	0.2852
25	0.7539	0.3593
26	0.7539	0.2852
27	0.7467	0.4118
28	0.7608	0.3593
29	0.7539	0.3593
30	0.7539	0.3593
31	0.7608	0.4526
32	1.0000	1.0000
33	0.7539	0.3593
34	0.7608	0.3593
35	0.7608	0.3593
36	0.7860	0.3593
37	0.7608	0.3593
38	0.7539	0.3593
39	0.7608	0.3593
40	0.7738	0.4859
41	0.7674	0.4526
42	0.7539	0.3593
43	0.7608	0.3593
44	0.7539	0.3593
45	0.7738	0.4118
46	0.7860	0.4859
47	0.8770	0.6965
48	0.9322	0.7148
49	0.8371	0.5600
50	0.8326	0.5141
51	0.8133	0.5141
52	0.8133	0.4859
53	0.8183	0.4859
54	0.8133	0.5141
55	0.8082	0.5141
56	0.8082	0.4859
57	0.7974	0.4859
58	0.7738	0.4859
59	0.7608	0.4118
60	0.8133	0.5141
61	0.7608	0.4118
62	0.8133	0.5600
63	0.7674	0.4526
64	0.7539	0.2852
65	0.7738	0.4118
66	0.7674	0.4526
67	0.7738	0.4118
68	0.7800	0.4526
69	0.7738	0.4118
70	0.7974	0.4526
71	0.7674	0.4118
72	0.7674	0.3593
73	0.8029	0.4118
74	0.7674	0.3593
75	0.7608	0.4118
76	0.7674	0.4118
77	0.7674	0.4526
78	0.7674	0.4859
79	0.7674	0.4118
80	0.7738	0.4526
81	0.7674	0.3593
82	0.8029	0.4526
83	0.7800	0.4526
84	0.7800	0.5141
85	0.7674	0.4118
86	0.7608	0.4118
87	0.7674	0.4526
88	0.7608	0.3593
89	0.7608	0.3593
90	0.7674	0.3593
91	0.7738	0.4526
92	0.7539	0.4118
93	0.7738	0.3593
94	0.7539	0.3593
95	0.7608	0.4526
96	0.7608	0.3593
97	0.8279	0.5967
98	0.8029	0.5385
99	0.8029	0.5385
100	0.8183	0.5600
101	0.8941	0.7059
102	0.7738	0.4859
103	0.7860	0.5141
104	0.7860	0.4526
105	0.8133	0.5793
106	0.7974	0.4526
107	0.7674	0.4118
108	0.7974	0.5385
109	0.8029	0.5141
110	0.8371	0.6126
111	0.8458	0.6126
112	0.7918	0.5141
113	0.7608	0.4118
114	0.8232	0.6126
115	0.8082	0.5600
116	0.8581	0.6272
117	0.7800	0.5385
118	0.7674	0.4526
119	0.7608	0.4118
120	0.7800	0.4526
121	0.7738	0.4859
122	0.7608	0.4118
123	0.7608	0.4118
124	0.7539	0.4859
125	0.7608	0.3593
126	0.7608	0.4118
127	0.7674	0.4118
128	0.7539	0.2852
129	0.7539	0.3593
130	0.7539	0.2852
131	0.7539	0.3593
132	0.7539	0.3593
133	0.7467	0.4526
134	0.7539	0.3593
135	0.7539	0.4118
136	0.7539	0.3593
137	0.7539	0.3593
138	0.7674	0.3593
139	0.7539	0.4118
140	0.7539	0.3593
141	0.7539	0.3593
142	0.7608	0.4118
143	0.7608	0.4118
144	0.7539	0.3593
145	0.7539	0.3593
146	0.7860	0.3593
147	0.7539	0.3593
148	0.7608	0.4118
149	0.7539	0.4118
150	0.7608	0.3593
151	0.7539	0.4118
152	0.7467	0.4118
153	0.7467	0.4526
154	0.7539	0.3593
155	0.7539	0.4118
156	0.7539	0.4118
157	0.7539	0.4118
158	0.7539	0.4118
159	0.7608	0.4526
160	0.7539	0.3593
161	0.7539	0.4526
162	0.7608	0.3593
163	0.7539	0.3593
164	0.7608	0.3593
165	0.7608	0.4118
166	0.7539	0.4118
167	0.7608	0.3593
168	0.7467	0.3593
169	0.7539	0.3593
170	0.7539	0.4118
171	0.7608	0.4118
172	0.7539	0.4118
173	0.7608	0.3593
174	0.7608	0.4118
175	0.7608	0.4118
176	0.7539	0.3593
177	0.7539	0.4118
178	0.7539	0.3593
179	0.7539	0.4118
180	0.7608	0.3593
181	0.7608	0.4118
182	0.7608	0.3593
183	0.7608	0.4118
184	0.7539	0.4118
185	0.7539	0.3593
186	0.7539	0.4118
187	0.7608	0.4118
188	0.7467	0.4118
189	0.7608	0.4118
190	0.7539	0.4118
191	0.7608	0.4118
192	0.7539	0.3593
193	0.7539	0.3593
194	0.7539	0.3593
195	0.7608	0.3593
196	0.7539	0.3593
197	0.7539	0.4118
198	0.7539	0.4118
199	0.7608	0.4118
200	0.7539	0.4118
201	0.7539	0.4118
202	0.7539	0.4118
203	0.7539	0.3593
204	0.7467	0.4526
205	0.7539	0.4118
206	0.7539	0.4118
207	0.7608	0.4118
208	0.7539	0.3593
209	0.7539	0.3593
210	0.7608	0.3593
211	0.7608	0.4118
212	0.7539	0.4118
213	0.7608	0.4118
214	0.7608	0.3593
215	0.7608	0.4118
216	0.7539	0.3593
217	0.7539	0.3593
218	0.7608	0.4118
219	0.7608	0.4118
220	0.7539	0.3593
221	0.7608	0.4118
222	0.7539	0.4118
223	0.7608	0.4118
224	0.7539	0.4118
225	0.7539	0.3593
226	0.7539	0.4118
227	0.7608	0.3593
228	0.7539	0.4118
229	0.7539	0.4526
230	0.7539	0.4859
