bit	corr1	corr2
0	0.0000	0.0000
1	0.0000	0.0000
2	0.0000	0.0000
3	0.0000	0.0000
4	0.0000	0.0000
5	0.0000	0.0000
6	0.0000	0.0000
7	0.0000	0.0000
8	0.0000	0.0000
9	0.4118	0.1601
10	0.7315	0.6272
11	0.0000	0.0000
12	0.0000	0.0000
13	0.3593	0.2852
14	0.0000	0.0000
15	0.0000	0.0000
16	0.0000	0.0000
17	0.0000	0.0000
18	0.0000	0.0000
19	0.0000	0.0000
20	0.0000	0.0000
21	0.0000	0.0000
22	0.0000	0.0000
23	0.0000	0.0000
24	0.0000	0.0000
25	0.0000	0.0000
26	0.0000	0.0000
27	0.0000	0.0000
28	0.0000	0.0000
29	0.0000	0.0000
30	0.0000	0.0000
31	0.0000	0.0000
32	1.0000	1.0000
33	0.0000	0.0000
34	0.7539	0.4118
35	0.3593	0.1601
36	0.0000	0.0000
37	0.0000	0.0000
38	0.1601	0.1601
39	0.1601	0.1601
40	0.1601	0.1601
41	0.1601	0.1601
42	0.0000	0.0000
43	0.0000	0.0000
44	0.3593	0.4859
45	0.7148	0.4526
46	0.7315	0.5141
47	0.9097	0.7059
48	0.7148	0.2852
49	0.6651	0.2852
50	0.6762	0.1601
51	0.5600	0.1601
52	0.5385	0.1601
53	0.4859	0.1601
54	0.4526	0.0000
55	0.4526	0.0000
56	0.4859	0.0000
57	0.5967	0.0000
58	0.8659	0.5385
59	0.2852	0.1601
60	0.7800	0.7059
61	0.6272	0.2852
62	0.7800	0.7059
63	0.3593	0.0000
64	0.0000	0.1601
65	0.3593	0.1601
66	0.1601	0.0000
67	0.4859	0.2852
68	0.5600	0.2852
69	0.2852	0.1601
70	0.4118	0.1601
71	0.1601	0.1601
72	0.1601	0.1601
73	0.4118	0.1601
74	0.0000	0.0000
75	0.0000	0.0000
76	0.3593	0.1601
77	0.4118	0.1601
78	0.2852	0.1601
79	0.2852	0.1601
80	0.2852	0.2852
81	0.0000	0.0000
82	0.4526	0.1601
83	0.4118	0.2852
84	0.4118	0.2852
85	0.3593	0.1601
86	0.2852	0.0000
87	0.1601	0.1601
88	0.1601	0.0000
89	0.0000	0.0000
90	0.0000	0.0000
91	0.1601	0.0000
92	0.0000	0.0000
93	0.1601	0.0000
94	0.0000	0.0000
95	0.1601	0.0000
96	0.0000	0.0000
97	0.9097	0.8326
98	0.6867	0.5385
