bit	corr1	corr2
0	0.0000	0.0000
1	0.0000	0.0000
2	0.0000	0.0000
3	0.0000	0.0000
4	0.0000	0.0000
5	0.0000	0.0000
6	0.0000	0.0000
7	0.0000	0.0000
8	0.0000	0.0000
9	0.0000	0.0000
10	0.6126	0.5793
11	0.0000	0.0000
12	0.0000	0.0000
13	0.0000	0.0000
14	0.0000	0.0000
15	0.0000	0.0000
16	0.0000	0.0000
17	0.0000	0.0000
18	0.0000	0.0000
19	0.0000	0.0000
20	0.0000	0.0000
21	0.0000	0.0000
22	0.0000	0.0000
23	0.0000	0.0000
24	0.0000	0.0000
25	0.0000	0.0000
26	0.0000	0.0000
27	0.0000	0.0000
28	0.0000	0.0000
29	0.0000	0.0000
30	0.0000	0.0000
31	0.0000	0.0000
32	1.0000	1.0000
33	0.1601	0.1601
34	0.4859	0.4859
35	0.5141	0.5141
36	0.4526	0.4526
37	0.0000	0.0000
38	0.2852	0.2852
39	0.7392	0.2852
40	0.2852	0.2852
41	0.3593	0.3593
42	0.0000	0.0000
43	0.0000	0.0000
44	0.0000	0.0000
45	0.6407	0.3593
46	0.6272	0.2852
47	0.6126	0.1601
48	0.7148	0.2852
49	0.6867	0.1601
50	0.5385	0.1601
51	0.5385	0.0000
52	0.5793	0.0000
53	0.5141	0.0000
54	0.4118	0.0000
55	0.4859	0.0000
56	0.4118	0.0000
57	0.4859	0.0000
58	0.4118	0.1601
59	0.3593	0.3593
60	0.1601	0.0000
61	0.4526	0.2852
62	0.1601	0.1601
63	0.3593	0.0000
64	0.0000	0.0000
65	0.1601	0.1601
66	0.0000	0.0000
67	0.1601	0.1601
68	0.3593	0.0000
69	0.2852	0.2852
70	0.4859	0.1601
71	0.2852	0.1601
72	0.2852	0.1601
73	0.4118	0.1601
74	0.1601	0.0000
75	0.0000	0.0000
76	0.1601	0.1601
77	0.1601	0.0000
78	0.1601	0.1601
79	0.3593	0.1601
80	0.3593	0.1601
81	0.0000	0.0000
82	0.4526	0.1601
83	0.1601	0.1601
84	0.1601	0.1601
85	0.0000	0.0000
86	0.0000	0.0000
87	0.0000	0.0000
88	0.0000	0.0000
89	0.0000	0.0000
90	0.0000	0.0000
91	0.1601	0.1601
92	0.1601	0.1601
93	0.1601	0.1601
94	0.0000	0.0000
95	0.5600	0.3593
96	0.0000	0.0000
97	0.7539	0.5385
98	0.5600	0.2852
