bit	corr1	corr2
0	1.0	1.0
1	0.42	0.25
2	0.45	0.22
3	0.23	0.16
4	0.38	0.19
5	0.43	0.16
6	0.21	0.12
7	0.23	0.14
8	0.32	0.16
9	0.38	0.16
10	0.44	0.15
11	0.37	0.14
12	0.24	0.12
13	0.25	0.13
14	0.23	0.14
15	0.23	0.13
16	0.31	0.15
17	0.31	0.17
18	0.34	0.16
19	0.3	0.15
20	0.34	0.12
21	0.32	0.19
22	0.35	0.19
23	0.29	0.15
24	0.29	0.25
25	0.25	0.13
26	0.29	0.15
27	0.25	0.13
28	0.26	0.15
29	0.24	0.2
30	0.22	0.13
31	0.25	0.16
32	0.37	0.19
33	0.45	0.26
34	0.33	0.15
35	0.24	0.13
36	0.34	0.16
37	0.3	0.13
38	0.31	0.13
39	0.25	0.12
40	0.35	0.15
41	0.26	0.1
42	0.36	0.15
43	0.28	0.13
44	0.35	0.22
45	0.26	0.12
46	0.31	0.17
47	0.29	0.14
48	0.32	0.15
49	0.25	0.13
50	0.27	0.14
51	0.24	0.12
52	0.27	0.14
53	0.31	0.14
54	0.25	0.11
55	0.27	0.13
56	0.26	0.14
57	0.25	0.13
58	0.26	0.13
59	0.24	0.11
60	0.23	0.13
61	0.27	0.13
62	0.26	0.14
63	0.29	0.14
64	0.42	0.22
65	0.31	0.12
66	0.33	0.16
67	0.22	0.1
68	0.34	0.18
69	0.28	0.12
70	0.27	0.14
71	0.23	0.12
72	0.32	0.16
73	0.29	0.14
74	0.31	0.14
75	0.28	0.13
76	0.4	0.28
77	0.28	0.12
78	0.3	0.14
79	0.27	0.12
80	0.4	0.14
81	0.28	0.13
82	0.32	0.16
83	0.28	0.13
84	0.36	0.19
85	0.36	0.17
86	0.28	0.14
87	0.32	0.15
88	0.35	0.15
89	0.28	0.12
90	0.31	0.14
91	0.26	0.13
92	0.32	0.16
93	0.31	0.17
94	0.3	0.14
95	0.33	0.14
96	0.34	0.16
97	0.3	0.11
98	0.27	0.15
99	0.23	0.14
100	0.26	0.12
101	0.28	0.11
102	0.24	0.12
103	0.26	0.12
104	0.26	0.13
105	0.27	0.11
106	0.3	0.15
107	0.29	0.14
108	0.25	0.11
109	0.27	0.13
110	0.28	0.13
111	0.29	0.13
112	0.29	0.15
113	0.28	0.14
114	0.26	0.14
115	0.26	0.12
116	0.27	0.14
117	0.33	0.15
118	0.25	0.14
119	0.29	0.15
120	0.23	0.1
121	0.27	0.12
122	0.28	0.15
123	0.29	0.14
124	0.28	0.16
125	0.3	0.15
126	0.3	0.15
127	0.33	0.16
128	0.39	0.26
129	0.32	0.11
130	0.35	0.14
131	0.23	0.1
132	0.3	0.14
133	0.3	0.12
134	0.24	0.13
135	0.22	0.13
136	0.3	0.14
137	0.26	0.13
138	0.28	0.14
139	0.26	0.15
140	0.27	0.13
141	0.27	0.14
142	0.25	0.15
143	0.26	0.14
144	0.3	0.14
145	0.25	0.13
146	0.29	0.14
147	0.27	0.11
148	0.28	0.14
149	0.31	0.15
150	0.26	0.13
151	0.31	0.13
152	0.3	0.13
153	0.27	0.13
154	0.29	0.12
155	0.25	0.11
156	0.27	0.13
157	0.29	0.12
158	0.27	0.14
159	0.31	0.13
160	0.36	0.14
161	0.3	0.14
162	0.28	0.14
163	0.25	0.14
164	0.3	0.13
165	0.3	0.13
166	0.27	0.1
167	0.29	0.14
168	0.32	0.12
169	0.32	0.17
170	0.36	0.15
171	0.32	0.15
172	0.27	0.12
173	0.31	0.16
174	0.32	0.16
175	0.32	0.15
176	0.33	0.13
177	0.26	0.13
178	0.27	0.13
179	0.25	0.13
180	0.26	0.13
181	0.3	0.15
182	0.27	0.09
183	0.29	0.14
184	0.29	0.15
185	0.28	0.14
186	0.31	0.15
187	0.3	0.17
188	0.26	0.14
189	0.3	0.15
190	0.3	0.15
191	0.33	0.14
192	0.31	0.17
193	0.26	0.11
194	0.29	0.13
195	0.24	0.12
196	0.25	0.13
197	0.26	0.13
198	0.25	0.13
199	0.28	0.16
200	0.24	0.12
201	0.27	0.13
202	0.25	0.14
203	0.29	0.14
204	0.22	0.14
205	0.27	0.15
206	0.27	0.12
207	0.4	0.16
208	0.25	0.14
209	0.27	0.14
210	0.27	0.11
211	0.28	0.12
212	0.29	0.14
213	0.33	0.16
214	0.28	0.15
215	0.32	0.17
216	0.23	0.1
217	0.25	0.11
218	0.25	0.13
219	0.29	0.12
220	0.25	0.13
221	0.3	0.15
222	0.27	0.14
223	0.32	0.16
224	0.27	0.14
225	0.26	0.12
226	0.25	0.13
227	0.31	0.16
228	0.24	0.11
229	0.28	0.13
230	0.25	0.11
231	0.31	0.15
232	0.28	0.16
233	0.28	0.14
234	0.32	0.16
235	0.33	0.17
236	0.26	0.13
237	0.29	0.13
238	0.28	0.14
239	0.31	0.15
240	0.24	0.12
241	0.28	0.14
242	0.27	0.13
243	0.3	0.14
244	0.28	0.14
245	0.32	0.16
246	0.29	0.14
247	0.29	0.15
248	0.29	0.15
249	0.29	0.15
250	0.31	0.15
251	0.3	0.17
252	0.33	0.13
253	0.36	0.28
254	0.45	0.29
