bit	corr1	corr2
0	1.0000	1.0000
1	0.7539	0.5141
2	0.7608	0.5385
3	0.7059	0.5385
4	0.7392	0.5141
5	0.6965	0.5385
6	0.6965	0.5385
7	0.6867	0.5793
8	0.7233	0.5600
9	0.6867	0.5600
10	0.6965	0.5600
11	0.6651	0.5793
12	0.6867	0.5600
13	0.6651	0.5793
14	0.6651	0.5967
15	0.6534	0.5141
16	0.7148	0.5385
17	0.6651	0.6126
18	0.6651	0.6126
19	0.6534	0.5600
20	0.6762	0.5967
21	0.6534	0.5967
22	0.6534	0.6407
23	0.6407	0.5385
24	0.6762	0.5600
25	0.6534	0.5600
26	0.6534	0.5967
27	0.6407	0.5600
28	0.6651	0.5600
29	0.6407	0.5793
30	0.6407	0.5793
31	0.6126	0.5793
32	0.7233	0.5385
33	0.6867	0.5385
34	0.6762	0.6272
35	0.6407	0.5793
36	0.6651	0.5793
37	0.6407	0.6407
38	0.6534	0.6126
39	0.6407	0.5967
40	0.6762	0.6126
41	0.6534	0.5967
42	0.6534	0.6407
43	0.6407	0.6407
44	0.6867	0.6126
45	0.6407	0.6126
46	0.6407	0.5967
47	0.6272	0.5967
48	0.6965	0.5793
49	0.6534	0.6272
50	0.6534	0.6126
51	0.6534	0.5967
52	0.6534	0.5793
53	0.6407	0.6272
54	0.6407	0.5967
55	0.6272	0.5967
56	0.6867	0.5600
57	0.6651	0.5793
58	0.6534	0.5967
59	0.6534	0.5793
60	0.6407	0.5793
61	0.6272	0.5967
62	0.6126	0.5793
63	0.5967	0.5385
64	0.7148	0.5141
65	0.6762	0.5793
66	0.6651	0.6272
67	0.6534	0.5793
68	0.6762	0.6126
69	0.6534	0.6126
70	0.6762	0.6407
71	0.6534	0.5793
72	0.6762	0.6126
73	0.6762	0.6126
74	0.6534	0.6126
75	0.6407	0.6126
76	0.6534	0.5793
77	0.6407	0.5967
78	0.6407	0.5793
79	0.6126	0.5967
80	0.6867	0.5793
81	0.6407	0.6126
82	0.6534	0.5793
83	0.6272	0.6126
84	0.6534	0.6272
85	0.6407	0.5967
86	0.6407	0.5967
87	0.6272	0.5967
88	0.6651	0.5967
89	0.6407	0.6272
90	0.6407	0.6126
91	0.6272	0.5967
92	0.6407	0.6126
93	0.6272	0.5967
94	0.6272	0.5967
95	0.5967	0.5967
96	0.6965	0.5967
