bit	corr1	corr2
0	1.0000	0.9499
1	0.8620	0.9703
2	0.8620	0.9703
3	0.8541	0.9592
4	0.8659	0.9724
5	0.8458	0.9474
6	0.8541	0.9592
7	0.8541	0.9724
8	0.8770	0.9807
9	0.8500	0.9703
10	0.8620	0.9615
11	0.8500	0.9499
12	0.8581	0.9703
13	0.8541	0.9474
14	0.8500	0.9766
15	0.8541	0.9703
16	0.8697	0.9637
17	0.8541	0.9615
18	0.8541	0.9522
19	0.8458	0.9681
20	0.8581	0.9569
21	0.8458	0.9615
22	0.8541	0.9400
23	0.8541	0.9637
24	0.8659	0.9615
25	0.8500	0.9681
26	0.8541	0.9522
27	0.8500	0.9615
28	0.8581	0.9746
29	0.8500	0.9615
30	0.8541	0.9807
31	0.8541	0.9766
32	0.9005	0.9637
33	0.8541	0.9615
34	0.8770	0.9450
35	0.8458	0.9637
36	0.8620	0.9474
37	0.8458	0.9450
38	0.8541	0.9592
39	0.8500	0.9766
40	0.8581	0.9569
41	0.8500	0.9681
42	0.8500	0.9569
43	0.8458	0.9746
44	0.8620	0.9660
45	0.8541	0.9522
46	0.8659	0.9703
47	0.8733	0.9807
48	0.8805	0.9807
49	0.8770	0.9660
50	0.8659	0.9703
51	0.8620	0.9724
52	0.8659	0.9592
53	0.8541	0.9348
54	0.8620	0.9615
55	0.8620	0.9660
56	0.8659	0.9828
57	0.8620	0.9660
58	0.8805	0.9637
59	0.8541	0.9615
60	0.8697	0.9887
61	0.8620	0.9592
62	0.8659	0.9807
63	0.8620	0.9807
64	0.8581	0.9546
65	0.8659	0.9546
66	0.8697	0.9522
67	0.8581	0.9592
68	0.8840	0.9425
69	0.8697	0.9499
70	0.8581	0.9615
71	0.8581	0.9703
72	0.8620	0.9546
73	0.8770	0.9546
74	0.8581	0.9425
75	0.8500	0.9592
76	0.8541	0.9660
77	0.8620	0.9474
78	0.8620	0.9660
79	0.8500	0.9807
80	0.8541	0.9450
81	0.8500	0.9546
82	0.8697	0.9400
83	0.8500	0.9681
84	0.8620	0.9374
85	0.8541	0.9374
86	0.8541	0.9592
87	0.8500	0.9787
88	0.8697	0.9592
89	0.8581	0.9703
90	0.8541	0.9425
91	0.8500	0.9450
92	0.8541	0.9660
93	0.8541	0.9615
94	0.8581	0.9746
95	0.8541	0.9746
96	0.8620	0.9660
97	0.8770	0.9724
98	0.8620	0.9450
99	0.8733	0.9787
100	0.8733	0.9425
101	0.8874	0.9746
102	0.8697	0.9681
103	0.8620	0.9887
104	0.8581	0.9546
105	0.8697	0.9746
106	0.8500	0.9295
107	0.8620	0.9522
108	0.8581	0.9569
109	0.8805	0.9660
110	0.8697	0.9522
111	0.8805	0.9724
112	0.8770	0.9787
113	0.8581	0.9807
114	0.8697	0.9637
115	0.8770	0.9724
116	0.8874	0.9637
117	0.8581	0.9615
118	0.8541	0.9546
119	0.8659	0.9660
120	0.8840	0.9867
121	0.8620	0.9867
122	0.8581	0.9522
123	0.8620	0.9660
124	0.8581	0.9867
125	0.8620	0.9766
126	0.8620	0.9807
127	0.8620	0.9848
128	0.8581	0.9660
129	0.8541	0.9569
130	0.8541	0.9522
131	0.8500	0.9703
132	0.8541	0.9703
133	0.8541	0.9681
134	0.8541	0.9615
135	0.8541	0.9746
136	0.8541	0.9450
137	0.8581	0.9592
138	0.8541	0.9546
139	0.8541	0.9592
140	0.8541	0.9746
141	0.8541	0.9637
142	0.8581	0.9637
143	0.8581	0.9807
144	0.8458	0.9499
145	0.8500	0.9522
146	0.8541	0.9400
147	0.8541	0.9681
148	0.8500	0.9724
149	0.8541	0.9724
150	0.8541	0.9681
151	0.8541	0.9828
152	0.8500	0.9766
153	0.8581	0.9703
154	0.8541	0.9400
155	0.8581	0.9637
156	0.8581	0.9724
157	0.8581	0.9681
158	0.8581	0.9787
159	0.8581	0.9848
160	0.8415	0.9348
161	0.8500	0.9522
162	0.8500	0.9400
163	0.8541	0.9637
164	0.8415	0.9681
165	0.8581	0.9615
166	0.8541	0.9569
167	0.8581	0.9724
168	0.8415	0.9400
169	0.8541	0.9400
170	0.8541	0.9185
171	0.8581	0.9660
172	0.8541	0.9637
173	0.8581	0.9450
174	0.8620	0.9637
175	0.8581	0.9703
176	0.8500	0.9522
177	0.8581	0.9569
178	0.8500	0.9637
179	0.8581	0.9807
180	0.8458	0.9681
181	0.8620	0.9425
182	0.8581	0.9637
183	0.8581	0.9615
184	0.8500	0.9746
185	0.8581	0.9546
186	0.8541	0.9450
187	0.8620	0.9660
188	0.8581	0.9828
189	0.8620	0.9569
