bit	corr1	corr2
0	0.0000	0.0000
1	0.0000	0.0000
2	0.0000	0.0000
3	0.0000	0.0000
4	0.0000	0.0000
5	0.0000	0.0000
6	0.0000	0.0000
7	0.0000	0.0000
8	0.0000	0.0000
9	0.6126	0.0000
10	0.6407	0.4859
11	0.0000	0.0000
12	0.0000	0.0000
13	0.5793	0.4859
14	0.0000	0.0000
15	0.0000	0.0000
16	0.0000	0.0000
17	0.0000	0.0000
18	0.0000	0.0000
19	0.0000	0.0000
20	0.0000	0.0000
21	0.0000	0.0000
22	0.0000	0.0000
23	0.0000	0.0000
24	0.0000	0.0000
25	0.0000	0.0000
26	0.0000	0.0000
27	0.0000	0.0000
28	0.0000	0.0000
29	0.0000	0.0000
30	0.0000	0.0000
31	0.0000	0.0000
32	0.9067	1.0000
33	0.1601	0.0000
34	0.7974	0.0000
35	0.2852	0.2852
36	0.0000	0.0000
37	0.0000	0.0000
38	0.0000	0.0000
39	0.0000	0.5793
40	0.0000	0.0000
41	0.1601	0.0000
42	0.0000	0.0000
43	0.0000	0.0000
44	0.8733	0.6126
45	0.8232	0.5141
46	1.0000	0.7059
47	0.6762	0.4118
48	0.9295	0.6762
49	0.9374	0.6407
50	0.8874	0.5600
51	0.8620	0.5967
52	0.8458	0.5385
53	0.8371	0.5600
54	0.8279	0.5385
55	0.8133	0.5385
56	0.8183	0.5600
57	0.8183	0.5141
58	0.4859	0.1601
59	0.1601	0.0000
60	0.5385	0.4859
61	0.6651	0.4526
62	0.5385	0.4859
63	0.1601	0.0000
64	0.0000	0.0000
65	0.1601	0.0000
66	0.2852	0.0000
67	0.4526	0.1601
68	0.3593	0.1601
69	0.2852	0.0000
70	0.4118	0.1601
71	0.4118	0.0000
72	0.1601	0.0000
73	0.2852	0.1601
74	0.0000	0.0000
75	0.0000	0.0000
76	0.3593	0.1601
77	0.3593	0.2852
78	0.1601	0.0000
79	0.1601	0.0000
80	0.2852	0.1601
81	0.0000	0.0000
82	0.0000	0.0000
83	0.3593	0.0000
84	0.2852	0.0000
85	0.1601	0.0000
86	0.4118	0.0000
87	0.1601	0.0000
88	0.0000	0.1601
89	0.1601	0.0000
90	0.0000	0.0000
91	0.0000	0.0000
92	0.0000	0.0000
93	0.0000	0.0000
94	0.0000	0.0000
95	0.1601	0.2852
96	0.0000	0.0000
97	0.5600	0.2852
98	0.3593	0.0000
